ItemID,AvailableStoreID,ID
1,1,0
1,2,1
1,3,2
1,4,3
1,5,4
1,6,5
1,7,6
1,8,7
1,9,8
2,6,9
2,9,10
2,8,11
2,7,12
3,5,13
3,3,14
3,2,15
4,2,16
4,3,17
4,4,18
5,5,19
6,6,20
7,7,21
8,8,22
8,9,23
8,1,24
9,2,25
9,3,26
9,4,27
9,5,28
10,2,29
10,3,30
10,4,31
10,5,32
10,6,33
10,9,34
12,4,35
12,5,36
12,6,37
12,7,38
12,8,39
14,2,40
14,3,41
17,1,42
17,2,43
17,3,44
17,4,45
17,5,46
17,7,47
18,1,48
18,2,49
18,3,50
18,4,51
18,5,52
18,7,53
19,1,54
19,2,55
19,3,56
19,4,57
19,5,58
19,7,59
20,9,60
20,2,61
20,3,62
20,4,63
20,5,64
20,7,65
27,2,66
27,3,67
27,4,68
27,5,69
27,7,70
27,9,71
28,4,72
28,5,73
28,7,74
29,4,75
29,5,76
30,1,77
30,2,78
30,3,79
30,4,80
