ID,Name,Address,Lattitude,Longitude
0,Target,"255 Pond Path, South Setauket, NY 11720",40.888594,-73.090723
1,Target,"307 Independence Plaza, Selden, NY 11784",40.873249,-73.048862
2,Target,"2975 Horseblock Road, Medford, NY 11763",40.836422,-72.985559
3,Dick's,"620 Smith Haven Mall, Lake Grove, NY 11755",40.875411,-73.134271
4,Dick's,"499-64 Sunrise Hwy, Patchogue, NY 11772",40.791168,-73.008896
5,Dick's,"6070 Jericho Turnpike, Commack, NY 11725",40.855332,-73.309972
6,Modell's,"89 NY-25A, Rocky Point, NY 11778",40.957056,-72.959560
7,Modell's,"51 Centereach Mall, Centereach, NY 11720",40.868019,-73.070115
8,Port Jeff Sports,"1395 NY-112, Port Jefferson Station, NY 11776",40.925429,-73.025920
9,Sportique Belleter,"98 Main St, Port Jefferson, NY 11777",40.953964,-73.054931
